winners,losers
A&M-Corpus Christi,Our Lady of the Lake
Abilene Christian,Randall
Albany (NY),Iona
Arizona,Northern Ariz.
Arizona St.,Idaho St.
Hawaii,Ark.-Pine Bluff
Arkansas,Samford
Evansville,Arkansas St.
Auburn,Norfolk St.
Vanderbilt,Austin Peay
Baylor,Central Ark.
Boise St.,Eastern Ore.
Boston College,Maine
Northeastern,Boston U.
Bowling Green,Drexel
Butler,Kennesaw St.
CSU Bakersfield,Whittier
CSUN,LIFE Pacific
Stanford,Cal Poly
Southern California,Cal St. Fullerton
Central Mich.,Siena Heights
Charlotte,Methodist
Iowa,Chicago St.
Cincinnati,Savannah St.
Clemson,Western Caro.
Col. of Charleston,Siena
Colorado,Northern Colo.
Colorado St.,Sacramento St.
Syracuse,Cornell
Davidson,Charleston So.
Dayton,Ball St.
Delaware,Richmond
Delaware St.,Cairn
Virginia Tech,Detroit Mercy
Duke,Elon
Northern Ky.,ETSU
Eastern Ky.,Rice
Eastern Mich.,Spring Arbor
Eastern Wash.,Walla Walla
FIU,Fla. Memorial
Miami (OH),Fordham
Fresno St.,UC Santa Cruz
Furman,Bob Jones
Ga. Southern,Wake Forest
Georgia,Bryant
Georgia St.,Carver
Grand Canyon,Florida A&M
Rider,Hampton
Hartford,Central Conn. St.
Harvard,MIT
Hofstra,Army West Point
Holy Cross,Sacred Heart
Houston,McNeese
George Washington,Howard
Indiana St.,Indiana
Jackson St.,Millsaps
Jacksonville St.,Tenn. Wesleyan
James Madison,Bridgewater (VA)
Kansas,Tennessee St.
Kansas St.,American
Kentucky,Utah Valley
LSU,Alcorn
George Mason,Lafayette
Liberty,Clarks Summit
Long Beach St.,San Francisco
Ole Miss,Louisiana
Louisiana Tech,Texas-Tyler
Marquette,Mt. St. Mary's
Marshall,UT Martin
Massachusetts,UMass Lowell
Alabama,Memphis
Miami (FL),Gardner-Webb
Michigan St.,North Florida
Middle Tenn.,Trevecca Nazarene
Minnesota,USC Upstate
Mississippi St.,Alabama St.
Missouri,Iowa St.
Monmouth,Bucknell
Montana St.,Omaha
Binghamton,Morgan St.
Murray St.,Brescia
N.C. A&T,Greensboro
Ill.-Chicago,N.C. Central
NC State,VMI
Navy,Pittsburgh
Nevada,Idaho
New Hampshire,Wheelock
